ticker,train,val,test,alpha,MAE_model,RMSE_model,MAPE_model,MAE_naive,RMSE_naive,Naive_MAPE,MAE_blend,RMSE_blend,MAPE_blend,last_close,forecast,model_path,scaler_path
AAPL,632,30,30,1.0,2.5817673206329346,3.684161857412588,1.1585564613342285,2.6128180027008057,3.7977987037093586,1.1719131469726562,2.5817673206329346,3.684161857412588,1.1585564613342285,239.77999877929688,"240.13,240.41,240.64",/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/AAPL/AAPL_model.keras,/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/AAPL/AAPL_scaler.joblib
MSFT,632,30,30,1.0,4.287876605987549,5.912797155030198,0.8253360986709595,4.188749313354492,5.89598103081021,0.8056090474128723,4.287876605987549,5.912797155030198,0.8253360986709595,507.9700012207031,"508.42,508.87,509.32",/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/MSFT/MSFT_model.keras,/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/MSFT/MSFT_scaler.joblib
NVDA,632,30,30,1.0,2.1523854732513428,2.780383800249648,1.216475486755371,2.078002452850342,2.710549098617405,1.171913981437683,2.1523854732513428,2.780383800249648,1.216475486755371,171.66000366210938,"172.38,173.05,173.69",/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/NVDA/NVDA_model.keras,/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/NVDA/NVDA_scaler.joblib
AMZN,632,30,30,1.0,3.134948253631592,4.949571363598024,1.3958239555358887,3.2050063610076904,5.0198418784600385,1.4256449937820435,3.134948253631592,4.949571363598024,1.3958239555358887,235.67999267578125,"235.91,236.02,236.18",/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/AMZN/AMZN_model.keras,/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/AMZN/AMZN_scaler.joblib
META,632,30,30,0.55,11.82845687866211,18.115916534494346,1.5631927251815796,11.484319686889648,18.353857216046748,1.5133689641952515,11.559537887573242,18.180019872337702,1.5252161026000977,748.6500244140625,"751.17,753.49,755.70",/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/META/META_model.keras,/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/META/META_scaler.joblib
GOOGL,632,30,30,1.0,2.598673105239868,4.359816443402866,1.2482112646102905,2.5796661376953125,4.357249627156389,1.2416408061981201,2.598673105239868,4.359816443402866,1.2482112646102905,232.3000030517578,"231.18,230.32,229.69",/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/GOOGL/GOOGL_model.keras,/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/GOOGL/GOOGL_scaler.joblib
JPM,632,30,30,1.0,2.272536277770996,2.8342653499368295,0.7729452848434448,2.2520010471343994,2.8180580321726647,0.7653399109840393,2.272536277770996,2.8342653499368295,0.7729452848434448,303.82000732421875,"304.32,304.79,305.24",/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/JPM/JPM_model.keras,/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/JPM/JPM_scaler.joblib
V,632,30,30,0.30000000000000004,3.0469746589660645,3.750139233865386,0.8870646357536316,2.5263540744781494,3.269423178797463,0.7357556819915771,2.5781352519989014,3.264370179820058,0.750938355922699,350.989990234375,"353.70,356.98,360.35",/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/V/V_model.keras,/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/V/V_scaler.joblib
XOM,632,30,30,1.0,0.8660268187522888,1.0908508569715003,0.7910767793655396,0.8802192807197571,1.1017474837580634,0.8042568564414978,0.8660268187522888,1.0908508569715003,0.7910767793655396,112.4000015258789,"112.39,112.41,112.46",/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/XOM/XOM_model.keras,/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/XOM/XOM_scaler.joblib
KO,632,30,30,0.0,0.4972035586833954,0.6350214281371489,0.7181723117828369,0.5003328919410706,0.6349407247977191,0.722576379776001,0.5003328919410706,0.6349407247977191,0.722576379776001,68.25,"68.24,68.24,68.23",/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/KO/KO_model.keras,/content/drive/MyDrive/WealthGenie/artifacts/run_2025-09-05_054008/KO/KO_scaler.joblib
