ticker,status,lookback,rows_written,csv_path,model_path
AAPL,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-AAPL/inference_input_lookback60.csv,./artifacts/AAPL_lstm_returns.keras
MSFT,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-MSFT/inference_input_lookback60.csv,./artifacts/MSFT_lstm_returns.keras
NVDA,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-NVDA/inference_input_lookback60.csv,./artifacts/NVDA_lstm_returns.keras
AMZN,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-AMZN/inference_input_lookback60.csv,./artifacts/AMZN_lstm_returns.keras
META,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-META/inference_input_lookback60.csv,./artifacts/META_lstm_returns.keras
GOOGL,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-GOOGL/inference_input_lookback60.csv,./artifacts/GOOGL_lstm_returns.keras
JPM,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-JPM/inference_input_lookback60.csv,./artifacts/JPM_lstm_returns.keras
V,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-V/inference_input_lookback60.csv,./artifacts/V_lstm_returns.keras
XOM,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-XOM/inference_input_lookback60.csv,./artifacts/XOM_lstm_returns.keras
KO,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-KO/inference_input_lookback60.csv,./artifacts/KO_lstm_returns.keras
GLD,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-GLD/inference_input_lookback60.csv,./artifacts/GLD_lstm_returns.keras
IAU,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-IAU/inference_input_lookback60.csv,./artifacts/IAU_lstm_returns.keras
GDX,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-GDX/inference_input_lookback60.csv,./artifacts/GDX_lstm_returns.keras
BTC-USD,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-BTC-USD/inference_input_lookback60.csv,./artifacts/BTC-USD_lstm_returns.keras
ETH-USD,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-ETH-USD/inference_input_lookback60.csv,./artifacts/ETH-USD_lstm_returns.keras
SOL-USD,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-SOL-USD/inference_input_lookback60.csv,./artifacts/SOL-USD_lstm_returns.keras
ADA-USD,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-ADA-USD/inference_input_lookback60.csv,./artifacts/ADA-USD_lstm_returns.keras
AVAX-USD,ok,60,61,/content/drive/MyDrive/WealthGenie/lookback_inputs/lookback_run_2025-09-05_064158/artifacts-AVAX-USD/inference_input_lookback60.csv,./artifacts/AVAX-USD_lstm_returns.keras
